id,image_id,filename,city,state,lat,lon,correct_city,quality,confidence,has_landmarks,has_architecture,has_signs,has_nature,has_urban,has_beach,has_people,has_vehicles,has_text,custom_tags,notes,annotated_by,annotated_at,created_at,updated_at
19fd8b2b-83a4-4de4-a491-5d7096b5a335,9d36adec-314a-40df-a2b8-0d2940fa73e6,wikimedia_Guadalajara_Jalisco_1_1764045686.jpg,Guadalajara,Jalisco,20.659699,-103.349609,✅,4,100,True,True,False,False,True,False,False,False,False,"['Guadalajara', 'Jalisco', 'catedral', 'arquitectura gótica', 'neogótico', 'blanco y negro', 'nocturna', 'torres', 'iglesia', 'monumento', 'ciudad']","Toma en blanco y negro de una de las torres de la Catedral de Guadalajara, Jalisco, iluminada de noche. Se aprecia el estilo arquitectónico gótico o neogótico",Emma,2025-11-25T07:31:42.85777+00:00,2025-11-25T16:40:46.941373+00:00,2025-11-25T16:40:46.941373+00:00
f36e109c-ac89-4788-9f3a-ceef9753583b,d8694f10-8374-41d9-9a8b-6708c8ae2f4f,wikimedia_Guadalajara_Jalisco_5_1764045693.jpg,Guadalajara,Jalisco,20.659699,-103.349609,✅,4,100,True,True,False,True,True,False,False,False,False,"['Glorieta Minerva', 'estatua', 'monumento', 'nocturna', 'iluminación', 'arquitectura urbana', 'Jalisco', 'escultura', 'paisaje nocturno']","La estatua de La Minerva en Guadalajara, Jalisco, vista de noche. La toma captura el monumento iluminado en su base de fuente, con un fuerte contraste de colores debido a la iluminación artificial y las plantas",Emma,2025-11-25T07:32:25.636101+00:00,2025-11-25T16:40:47.224921+00:00,2025-11-25T16:40:47.224921+00:00
1ddb0acc-20d7-45d2-978e-1ad926792a1f,e91bc2ab-d0a9-4395-a612-2aa57c02d777,wikimedia_Guadalajara_Jalisco_7_1764045695.jpg,Guadalajara,Jalisco,20.659699,-103.349609,✅,4,95,True,False,False,True,True,False,False,False,False,"['estatua', 'escultura', 'monumento', 'figura ecuestre', 'personaje histórico', 'aire libre', 'cielo azul', 'pedestal', 'jardín']","Estatua ecuestre de un personaje histórico (a caballo) en Guadalajara, Jalisco. La imagen está tomada a la altura del monumento contra el fondo de cielo azul y un poco de vegetación.",Emma,2025-11-25T07:33:09.997335+00:00,2025-11-25T16:40:47.540493+00:00,2025-11-25T16:40:47.540493+00:00
9bf0124a-0bef-4133-a584-f5c7884b88f2,bb2add35-46bc-4c2c-921a-61c5b987bc17,wikimedia_Guadalajara_Jalisco_6_1764045694.jpg,Guadalajara,Jalisco,20.659699,-103.349609,🤔,3,95,True,True,False,False,False,False,False,False,False,"['arquitectura colonial', 'arcos', 'pórtico', 'claustro', 'columnas de piedra', 'piso de ladrillo', 'adoquín', 'muro blanco', 'patio', 'entrada']","Una vista de un pórtico o claustro colonial, con arcos de piedra que descansan sobre columnas robustas. La pared de fondo es blanca y contrasta con el techo de vigas de madera. El piso es de baldosas de terracota bajo el pórtico y de adoquines en el exterior.",Emma,2025-11-25T07:42:14.164268+00:00,2025-11-25T16:40:48.340287+00:00,2025-11-25T16:40:48.340287+00:00
fdb4637b-96bc-4fbb-8746-bebc245d651f,a2848538-8cf4-420c-9ee5-800e5738988f,wikimedia_Guadalajara_Jalisco_9_1764045698.jpg,Guadalajara,Jalisco,20.659699,-103.349609,✅,5,80,True,True,True,True,True,False,True,False,True,"['Catedral de Guadalajara', 'torres', 'arquitectura religiosa', 'monumento', 'cantera', 'centro histórico', 'transporte público', 'sitren', 'bus turístico', 'paisaje urbano']","La fachada principal de la Catedral de Guadalajara, Jalisco, con sus características torres de puntas amarillas, parcialmente enmarcada por la parte superior de un autobús turístico de la línea SITREN",Emma,2025-11-25T07:43:07.138299+00:00,2025-11-25T16:40:48.624132+00:00,2025-11-25T16:40:48.624132+00:00
5e9ba7c2-817c-4939-9377-658ca6bffda1,aa31aac5-2f8f-465a-90a2-901f84830243,wikimedia_Guadalajara_Jalisco_12_1764045703.jpg,Guadalajara,Jalisco,20.659699,-103.349609,🤔,3,90,True,True,False,True,True,False,True,False,False,"['multitud', 'gente', 'noche', 'evento social', 'centro histórico', 'arquitectura colonial', 'cantera', 'policía', 'arbolado', 'iluminación urbana', 'vida nocturna']",Una multitud de personas reunidas en una calle de un centro histórico por la noche. Los edificios circundantes son de piedra de estilo colonial con grandes columnas. Hay iluminación urbana fuerte y un oficial en el primer plano.,Emma,2025-11-25T07:43:49.355378+00:00,2025-11-25T16:40:48.902158+00:00,2025-11-25T16:40:48.902158+00:00
98758dd2-1f23-46e2-ba24-0a5262bf11d0,e1a045aa-cdc7-40d9-afca-4d00c9c7384b,wikimedia_Guadalajara_Jalisco_14_1764045706.jpg,Guadalajara,Jalisco,20.659699,-103.349609,🤔,3,90,True,True,False,True,True,False,True,True,False,"['iglesia', 'fachada religiosa', 'templo', 'arquitectura barroca', 'cantera', 'escalinata', 'atrio elevado', 'cruz de piedra', 'campanario', 'torre', 'personas sentadas', 'peatones', 'árboles', 'cielo nublado', 'perspectiva de ángulo bajo', 'triciclo', 'bici-taxi']","Iglesia de fachada de piedra con un gran atrio elevado al que se accede por una amplia escalinata de piedra. La escena incluye personas sentadas en los escalones y un triciclo de carga en el primer plano izquierdo, situando la escena en un entorno urbano histórico.",Emma,2025-11-25T07:45:42.397052+00:00,2025-11-25T16:40:49.169639+00:00,2025-11-25T16:40:49.169639+00:00
ab55e77c-3921-4db8-bc97-38cc07a5a913,6104e536-e9e6-4bf4-a2a5-d4bd0f574d37,pexels_Guadalajara_Jalisco_1_1764045712.jpg,Guadalajara,Jalisco,20.659699,-103.349609,✅,5,100,True,True,False,True,True,False,False,True,False,"['Arcos de Guadalajara', 'monumento', 'arco triunfal', 'arquitectura monumental', 'noche', 'iluminación de colores', 'contraste de luz', 'larga exposición', 'tráfico', 'líneas de luz', 'arquitectura neoclásica', 'escudo', 'texto legible', 'Jalisco']","Vista nocturna de los Arcos de Guadalajara, con iluminación artificial de colores (azul y morado) destacando la estructura. La toma usa una exposición larga, creando estelas de luz en el asfalto de la calle, indicando tráfico en la base del monumento",Emma,2025-11-25T07:46:38.472428+00:00,2025-11-25T16:40:49.422065+00:00,2025-11-25T16:40:49.422065+00:00
c7527c1b-b149-4414-9df3-c4428b37a84c,2e7d83a3-6c12-4667-9aee-49719ba1d24c,pexels_Guadalajara_Jalisco_3_1764045714.jpg,Guadalajara,Jalisco,20.659699,-103.349609,✅,5,95,True,True,True,True,True,False,True,False,True,"['catedral', 'iglesia', 'arquitectura neogótica', 'torres gemelas', 'fachada de piedra rosa', 'cantera rosa', 'rosetón', 'plaza pública', 'atrio', 'fuente', 'cielo azul', 'soleado', 'farolas', 'monumentos']",Toma frontal de una gran catedral con dos altas torres gemelas de estilo gótico o neogótico. La fachada es de un color cantera rosada/terracota y domina la vista desde el centro de una plaza abierta con árboles y mobiliario urbano. El cielo está despejado y azul.,Emma,2025-11-25T07:47:52.465316+00:00,2025-11-25T16:40:49.685719+00:00,2025-11-25T16:40:49.685719+00:00
e820ba79-e548-4819-ab96-8b920e76219d,d50a94dc-b09c-493c-8ddf-17427e902caa,wikimedia_Puebla_Puebla_0_1764045847.jpg,Puebla,Puebla,19.041296,-98.2062,🤔,3,90,False,False,False,True,False,False,False,False,False,"['paisaje rural', 'camino de tierra', 'carretera sin pavimentar', 'vegetación semidesértica', 'matorral espinoso', 'árboles secos', 'cielo nublado', 'agave', 'nopal', 'horizonte', 'perspectiva de camino', 'terreno árido', 'sendero']","Vista de un camino de tierra sin pavimentar que serpentea a través de un paisaje rural y semiárido. La vegetación es baja y escasa, característica de un matorral espinoso, con cactus y árboles pequeños. El cielo tiene franjas de nubes blancas sobre un azul intenso",Emma,2025-11-25T07:52:12.081304+00:00,2025-11-25T16:40:51.041424+00:00,2025-11-25T16:40:51.041424+00:00
